,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,home.dest
0,1,1,1,29.0,0,0,13,211.3375,50,3,18,207
1,1,1,0,0.9167,1,2,372,151.55,108,3,21,327
2,1,0,1,2.0,1,2,372,151.55,108,3,0,327
3,1,0,0,30.0,1,2,372,151.55,108,3,0,327
4,1,0,1,25.0,1,2,372,151.55,108,3,0,327
5,1,1,0,48.0,0,0,20,26.55,69,3,4,33
6,1,1,1,63.0,1,0,361,77.9583,97,3,17,229
7,1,0,0,39.0,0,0,894,0.0,179,3,0,68
8,1,1,1,53.0,2,0,395,51.4792,119,3,6,179
9,1,0,0,71.0,0,0,297,49.5042,0,1,0,251
10,1,0,0,47.0,1,0,366,227.525,95,1,0,33
11,1,1,1,18.0,1,0,366,227.525,95,1,5,33
12,1,1,1,24.0,0,0,18,69.3,47,1,8,318
13,1,1,1,26.0,0,0,847,78.85,0,3,19,0
14,1,1,0,80.0,0,0,389,30.0,49,3,12,204
15,1,0,0,0.0,0,0,109,25.925,0,3,0,33
16,1,0,0,24.0,0,1,551,247.5208,27,1,0,180
17,1,1,1,50.0,0,1,551,247.5208,27,1,19,180
18,1,1,1,32.0,0,0,910,76.2917,99,1,13,0
19,1,0,0,36.0,0,0,840,75.2417,85,1,25,302
20,1,1,0,37.0,1,1,364,52.5542,181,3,23,33
21,1,1,1,47.0,1,1,364,52.5542,181,3,23,33
22,1,1,0,26.0,0,0,124,30.0,38,1,23,33
23,1,1,1,42.0,0,0,366,227.525,0,1,5,0
24,1,1,1,29.0,0,0,580,221.7792,111,3,13,0
25,1,0,0,25.0,0,0,70,26.0,0,1,0,362
26,1,1,0,25.0,1,0,882,91.0792,106,1,15,100
27,1,1,1,19.0,1,0,882,91.0792,106,1,15,100
28,1,1,1,35.0,0,0,673,135.6333,133,3,13,0
29,1,1,0,28.0,0,0,527,26.55,115,3,6,170
30,1,0,0,45.0,0,0,692,35.5,184,3,0,289
31,1,1,0,40.0,0,0,659,31.0,88,1,15,340
32,1,1,1,30.0,0,0,808,164.8667,74,3,13,178
33,1,1,1,58.0,0,0,507,26.55,21,3,13,182
34,1,0,0,42.0,0,0,631,26.55,64,3,0,84
35,1,1,1,45.0,0,0,719,262.375,0,1,5,313
36,1,1,1,22.0,0,1,108,55.0,33,3,19,201
37,1,1,0,0.0,0,0,460,26.55,0,3,8,357
38,1,0,0,41.0,0,0,164,30.5,101,3,0,60
39,1,0,0,48.0,0,0,866,50.4958,172,1,0,295
40,1,0,0,0.0,0,0,784,39.6,0,1,0,303
41,1,1,1,44.0,0,0,655,27.7208,66,1,19,160
42,1,1,1,59.0,2,0,395,51.4792,119,3,6,234
43,1,1,1,60.0,0,0,910,76.2917,99,1,13,303
44,1,1,1,41.0,0,0,657,134.5,86,1,4,0
45,1,0,0,45.0,0,0,498,26.55,73,3,0,148
46,1,0,0,0.0,0,0,663,31.0,0,3,0,0
47,1,1,0,42.0,0,0,689,26.2875,61,3,23,33
48,1,1,1,53.0,0,0,913,27.4458,0,1,19,148
49,1,1,0,36.0,0,1,4,512.3292,160,1,4,354
50,1,1,1,58.0,0,1,4,512.3292,160,1,4,336
51,1,0,0,33.0,0,0,333,5.0,160,3,0,33
52,1,0,0,28.0,0,0,273,47.1,0,3,0,251
53,1,0,0,17.0,0,0,273,47.1,0,3,0,251
54,1,1,0,11.0,1,2,122,120.0,167,3,5,347
55,1,1,1,14.0,1,2,122,120.0,167,3,5,347
56,1,1,0,36.0,1,2,122,120.0,167,3,7,347
57,1,1,1,36.0,1,2,122,120.0,167,3,5,347
58,1,0,0,49.0,0,0,543,26.0,0,3,0,38
59,1,1,1,0.0,0,0,400,27.7208,0,1,23,33
60,1,0,0,36.0,1,0,847,78.85,46,3,0,14
61,1,1,1,76.0,1,0,847,78.85,46,3,19,14
62,1,0,0,46.0,1,0,263,61.175,37,3,0,258
63,1,1,1,47.0,1,0,263,61.175,37,3,5,258
64,1,1,0,27.0,1,0,696,53.1,183,3,23,241
65,1,1,1,33.0,1,0,696,53.1,183,3,23,241
66,1,1,1,36.0,0,0,719,262.375,147,1,5,0
67,1,1,1,30.0,0,0,24,86.5,15,3,13,51
68,1,1,0,45.0,0,0,359,29.7,104,1,15,318
69,1,1,1,0.0,0,1,108,55.0,33,3,19,201
70,1,0,0,0.0,0,0,406,0.0,0,3,0,297
71,1,0,0,27.0,1,0,131,136.7792,59,1,0,357
72,1,1,1,26.0,1,0,131,136.7792,59,1,5,357
73,1,1,1,22.0,0,0,372,151.55,0,3,21,0
74,1,0,0,0.0,0,0,59,52.0,124,3,0,7
75,1,0,0,47.0,0,0,187,25.5875,93,3,0,15
76,1,1,1,39.0,1,1,442,83.1583,166,1,2,22
77,1,0,0,37.0,1,1,442,83.1583,58,1,0,22
78,1,1,1,64.0,0,2,442,83.1583,78,1,2,22
79,1,1,1,55.0,2,0,312,25.7,119,3,18,33
80,1,0,0,0.0,0,0,774,26.55,0,3,0,183
81,1,0,0,70.0,1,1,128,71.0,25,3,0,35
82,1,1,1,36.0,0,2,128,71.0,25,3,15,35
83,1,1,1,64.0,1,1,165,26.55,28,3,15,35
84,1,0,0,39.0,1,0,725,71.2833,14,1,0,33
85,1,1,1,38.0,1,0,725,71.2833,14,1,5,33
86,1,1,0,51.0,0,0,453,26.55,75,3,14,139
87,1,1,0,27.0,0,0,854,30.5,0,3,4,303
88,1,1,1,33.0,0,0,372,151.55,0,3,13,0
89,1,0,0,31.0,1,0,112,52.0,92,3,0,180
90,1,1,1,27.0,1,2,112,52.0,92,3,4,180
91,1,1,0,31.0,1,0,701,57.0,121,3,4,27
92,1,1,1,17.0,1,0,701,57.0,121,3,4,27
93,1,1,0,53.0,1,1,528,81.8583,157,3,11,362
94,1,1,0,4.0,0,2,528,81.8583,157,3,23,362
95,1,1,1,54.0,1,1,528,81.8583,157,3,23,362
96,1,0,0,50.0,1,0,348,106.425,165,1,0,280
97,1,1,1,27.0,1,1,551,247.5208,27,1,19,180
98,1,1,1,48.0,1,0,348,106.425,165,1,18,280
99,1,1,1,48.0,1,0,573,39.6,155,1,20,150
100,1,1,0,49.0,1,0,865,56.9292,40,1,20,150
101,1,0,0,39.0,0,0,757,29.7,52,1,0,303
102,1,1,1,23.0,0,1,783,83.1583,116,1,15,248
103,1,1,1,38.0,0,0,366,227.525,18,1,5,33
104,1,1,1,54.0,1,0,236,78.2667,145,1,5,50
105,1,0,1,36.0,0,0,304,31.6792,148,1,0,33
106,1,0,0,0.0,0,0,580,221.7792,154,3,0,0
107,1,1,1,0.0,0,0,467,31.6833,0,3,15,33
108,1,1,1,0.0,0,0,35,110.8833,0,1,5,0
109,1,1,0,36.0,0,0,489,26.3875,6,3,23,116
110,1,0,0,30.0,0,0,823,27.75,168,1,0,33
111,1,1,1,24.0,3,2,644,263.0,113,3,17,308
112,1,1,1,28.0,3,2,644,263.0,113,3,17,308
113,1,1,1,23.0,3,2,644,263.0,113,3,17,308
114,1,0,0,19.0,3,2,644,263.0,113,3,0,308
115,1,0,0,64.0,1,4,644,263.0,113,3,0,308
116,1,1,1,60.0,1,4,644,263.0,113,3,17,308
117,1,1,1,30.0,0,0,865,56.9292,89,1,20,0
118,1,0,0,0.0,0,0,797,26.55,62,3,0,260
119,1,1,0,50.0,2,0,44,133.65,0,3,23,33
120,1,1,0,43.0,1,0,602,27.7208,96,1,23,33
121,1,1,1,0.0,1,0,44,133.65,0,3,23,33
122,1,1,1,22.0,0,2,104,49.5,22,1,23,250
123,1,1,0,60.0,1,1,495,79.2,53,1,23,250
124,1,1,1,48.0,1,1,495,79.2,53,1,23,250
125,1,0,0,0.0,0,0,662,0.0,42,3,0,0
126,1,0,0,37.0,1,0,684,53.1,100,3,0,206
127,1,1,1,35.0,1,0,684,53.1,100,3,6,206
128,1,0,0,47.0,0,0,873,38.5,158,3,0,321
129,1,1,1,35.0,0,0,600,211.5,1,1,5,0
130,1,1,1,22.0,0,1,522,59.4,0,1,15,33
131,1,1,1,45.0,0,1,522,59.4,0,1,15,33
132,1,0,0,24.0,0,0,778,79.2,71,1,0,0
133,1,1,0,49.0,1,0,517,89.1042,2,1,23,133
134,1,1,1,0.0,1,0,517,89.1042,2,1,23,133
135,1,0,0,71.0,0,0,49,34.6542,81,1,0,33
136,1,1,0,53.0,0,0,760,28.5,83,1,12,148
137,1,1,1,19.0,0,0,240,30.0,128,3,4,57
138,1,0,0,38.0,0,1,335,153.4625,135,3,0,308
139,1,1,1,58.0,0,1,335,153.4625,141,3,4,57
140,1,1,0,23.0,0,1,461,63.3583,10,1,15,33
141,1,1,1,45.0,0,1,461,63.3583,10,1,15,33
142,1,0,0,46.0,0,0,778,79.2,178,1,0,33
143,1,1,0,25.0,1,0,555,55.4417,60,1,23,116
144,1,1,1,25.0,1,0,555,55.4417,60,1,23,116
145,1,1,0,48.0,1,0,813,76.7292,41,1,4,33
146,1,1,1,49.0,1,0,813,76.7292,41,1,4,33
147,1,0,0,0.0,0,0,126,42.4,0,3,0,0
148,1,0,0,45.0,1,0,664,83.475,117,3,0,33
149,1,1,1,35.0,1,0,664,83.475,117,3,6,33
150,1,0,0,40.0,0,0,67,0.0,125,3,0,0
151,1,1,0,27.0,0,0,813,76.7292,56,1,4,0
152,1,1,0,0.0,0,0,397,30.0,105,3,4,25
153,1,1,1,24.0,0,0,783,83.1583,116,1,15,33
154,1,0,0,55.0,1,1,515,93.5,70,3,0,180
155,1,1,1,52.0,1,1,515,93.5,70,3,4,180
156,1,0,0,42.0,0,0,771,42.5,31,3,0,125
157,1,0,0,0.0,0,0,274,51.8625,51,3,0,76
158,1,0,0,55.0,0,0,811,50.0,127,3,0,43
159,1,1,1,16.0,0,1,254,57.9792,30,1,5,350
160,1,1,1,44.0,0,1,254,57.9792,30,1,5,350
161,1,1,1,51.0,1,0,361,77.9583,118,3,17,229
162,1,0,0,42.0,1,0,927,52.0,0,3,0,33
163,1,1,1,35.0,1,0,927,52.0,0,3,13,33
164,1,1,0,35.0,0,0,84,26.55,0,1,3,16
165,1,1,0,38.0,1,0,851,90.0,136,3,6,112
166,1,0,0,0.0,0,0,581,30.6958,0,1,2,33
167,1,1,1,35.0,1,0,851,90.0,136,3,6,112
168,1,1,1,38.0,0,0,880,80.0,122,0,19,0
169,1,0,1,50.0,0,0,648,28.7125,43,1,0,221
170,1,1,0,49.0,0,0,662,0.0,72,3,7,328
171,1,0,0,46.0,0,0,618,26.0,0,3,0,232
172,1,0,0,50.0,0,0,296,26.0,142,3,0,237
173,1,0,0,32.5,0,0,600,211.5,107,1,0,0
174,1,0,0,58.0,0,0,219,29.7,32,1,0,219
175,1,0,0,41.0,1,0,355,51.8625,159,3,0,88
176,1,1,1,0.0,1,0,355,51.8625,159,3,13,88
